Subnum,Condition,Phase,Option,Value,err,abs_err,BestOption,Confidence,CA_diff,CA_diff_normalized,Value_normalized,BestOption_CA,training_accuracy
17,Baseline,2,A,0.18,-0.47000000000000003,0.47000000000000003,0.5,4.0,-0.87,-1.0668563300142249,0.07225288509784245,0.35,0.575
17,Baseline,3,A,0.63,-0.020000000000000018,0.020000000000000018,0.5,4.0,-0.87,-1.0668563300142249,0.56,0.35,0.575
17,Baseline,4,A,0.28,-0.37,0.37,0.6,1.0,-0.87,-1.0668563300142249,0.05318138651471985,0.35,0.575
17,Baseline,5,A,0.76,0.10999999999999999,0.10999999999999999,0.85,1.0,-0.87,-1.0668563300142249,0.18247298919567828,0.35,0.575
17,Baseline,6,A,0.96,0.30999999999999994,0.30999999999999994,0.75,8.0,-0.87,-1.0668563300142249,1.0924608819345663,0.35,0.575
17,Baseline,7,A,0.9,0.25,0.25,0.6,9.0,-0.87,-1.0668563300142249,0.9836065573770492,0.35,0.575
17,Frequency,1,A,0.69,0.039999999999999925,0.039999999999999925,0.5,9.0,-0.010000000000000009,-0.005785920925747368,0.46921042689837544,0.35,0.5083333333333333
17,Frequency,2,A,1.56,0.91,0.91,0.6,2.0,-0.010000000000000009,-0.005785920925747368,0.45447924253459576,0.35,0.5083333333333333
17,Frequency,3,A,0.35,-0.30000000000000004,0.30000000000000004,0.55,6.0,-0.010000000000000009,-0.005785920925747368,0.4233870967741935,0.35,0.5083333333333333
17,Frequency,4,A,0.4,-0.25,0.25,0.35,3.0,-0.010000000000000009,-0.005785920925747368,0.3292181069958848,0.35,0.5083333333333333
17,Frequency,5,A,0.68,0.030000000000000027,0.030000000000000027,0.45,8.0,-0.010000000000000009,-0.005785920925747368,0.9671111111111111,0.35,0.5083333333333333
17,Frequency,6,A,0.46,-0.19,0.19,0.6,6.0,-0.010000000000000009,-0.005785920925747368,0.266152362584378,0.35,0.5083333333333333
18,Baseline,1,A,1.03,0.38,0.38,0.6,3.0,-1.1,-1.3154960981047938,1.0510204081632653,0.3,0.6000000000000001
18,Baseline,2,A,0.4,-0.25,0.25,0.6,2.0,-1.1,-1.3154960981047938,0.7920792079207921,0.3,0.6000000000000001
18,Baseline,3,A,0.8,0.15000000000000002,0.15000000000000002,0.5,2.0,-1.1,-1.3154960981047938,0.906515580736544,0.3,0.6000000000000001
18,Baseline,4,A,-0.39,-1.04,1.04,0.6,5.0,-1.1,-1.3154960981047938,-0.9629629629629634,0.3,0.6000000000000001
18,Baseline,5,A,1.3,0.65,0.65,0.6,2.0,-1.1,-1.3154960981047938,2.3636363636363633,0.3,0.6000000000000001
18,Baseline,6,A,1.6,0.9500000000000001,0.9500000000000001,0.7,8.0,-1.1,-1.3154960981047938,1.4269788182831662,0.3,0.6000000000000001
18,Baseline,7,A,1.43,0.7799999999999999,0.7799999999999999,0.425,5.0,-1.1,-1.3154960981047938,1.704410011918951,0.3,0.6000000000000001
18,Frequency,1,A,0.3,-0.35000000000000003,0.35000000000000003,0.55,2.0,,,0.40955631399317394,0.3,0.55
18,Frequency,2,A,0.03,-0.62,0.62,0.6,2.0,,,0.039735099337748346,0.3,0.55
18,Frequency,3,A,1.3,0.65,0.65,0.6,4.0,,,0.931899641577061,0.3,0.55
18,Frequency,4,A,0.03,-0.62,0.62,0.65,2.0,,,0.04195804195804195,0.3,0.55
18,Frequency,5,A,0.03,-0.62,0.62,0.35,3.0,,,0.01732435033686237,0.3,0.55
18,Frequency,7,A,1.2,0.5499999999999999,0.5499999999999999,0.5375,3.0,,,1.1214953271028036,0.3,0.55
19,Baseline,1,A,0.42,-0.23000000000000004,0.23000000000000004,0.55,1.0,0.0,0.0,0.4038461538461538,0.65,0.5416666666666667
19,Baseline,2,A,1.06,0.41000000000000003,0.41000000000000003,0.5,1.0,0.0,0.0,0.8983050847457628,0.65,0.5416666666666667
19,Baseline,3,A,-0.11,-0.76,0.76,0.6,1.0,0.0,0.0,-0.1083743842364532,0.65,0.5416666666666667
19,Baseline,4,A,1.52,0.87,0.87,0.5,1.0,0.0,0.0,0.8150134048257373,0.65,0.5416666666666667
19,Baseline,5,A,1.0,0.35,0.35,0.55,1.0,0.0,0.0,0.7843137254901962,0.65,0.5416666666666667
19,Baseline,6,A,0.82,0.16999999999999993,0.16999999999999993,0.55,1.0,0.0,0.0,0.7192982456140351,0.65,0.5416666666666667
21,Baseline,1,A,0.58,-0.07000000000000006,0.07000000000000006,0.6,1.0,,,0.17956656346749225,0.5,0.575
21,Baseline,3,A,0.67,0.020000000000000018,0.020000000000000018,0.6,3.0,,,0.6557911908646004,0.5,0.575
21,Baseline,5,A,0.38,-0.27,0.27,0.45,2.0,,,0.4305949008498584,0.5,0.575
21,Baseline,7,A,1.4,0.7499999999999999,0.7499999999999999,0.5625,2.0,,,0.49601417183348095,0.5,0.575
21,Frequency,1,A,0.2,-0.45,0.45,0.65,3.0,-1.08,-0.2285714285714286,0.1929260450160772,0.7,0.4916666666666666
21,Frequency,3,A,0.36,-0.29000000000000004,0.29000000000000004,0.35,3.0,-1.08,-0.2285714285714286,0.14979195561719835,0.7,0.4916666666666666
21,Frequency,4,A,0.74,0.08999999999999997,0.08999999999999997,0.45,1.0,-1.08,-0.2285714285714286,0.34418604651162793,0.7,0.4916666666666666
21,Frequency,6,A,1.8,1.15,1.15,0.5,2.0,-1.08,-0.2285714285714286,0.5714285714285715,0.7,0.4916666666666666
21,Frequency,7,A,0.18,-0.47000000000000003,0.47000000000000003,0.6,2.0,-1.08,-0.2285714285714286,0.08664259927797834,0.7,0.4916666666666666
